STRASSE,HAUSNUMMER,PLZ,ORT,LAT,LON,SOURCE,OSM_ID
Beethovenstraße,13,,,46.7249289,14.0982853,node,4398531315
Beethovenstraße,15,,,46.7252137,14.0985488,node,4398531316
Beethovenstraße,17,,,46.7252834,14.0982859,node,4398531317
Beethovenstraße,19,,,46.725541,14.0985658,node,4398531318
Beethovenstraße,21,,,46.7256036,14.0983287,node,4398531319
Beethovenstraße,25,,,46.7258757,14.0985655,node,4398531320
Beethovenstraße,27,,,46.7259431,14.0983184,node,4398531321
Beethovenstraße,29,,,46.7261905,14.0985571,node,4398531322
Beethovenstraße,31,,,46.7262543,14.098315,node,4398531323
Beethovenstraße,33,,,46.7265274,14.0983545,node,4398531324
Beethovenstraße,5,,,46.7244984,14.0982277,node,4398531325
Beethovenstraße,7,,,46.7245005,14.0984276,node,4398531326
Beethovenstraße,9,,,46.7245026,14.0986273,node,4398531327
Klagenfurter Straße,10,,,46.7205416,14.0963111,node,4402508647
Klagenfurter Straße,11,,,46.7203977,14.0963477,node,4402508648
Klagenfurter Straße,12,,,46.7202576,14.0963834,node,4402508649
Klagenfurter Straße,6,,,46.7206811,14.0962885,node,4402508650
Rangetinerstraße,12,9560,,46.7237381,14.1099823,node,4422813163
Rangetinerstraße,13,,,46.7236183,14.1096157,node,4422813164
Markstein-Siedlung,6,,Feldkirchen in Kärnten,46.7056957,14.1094518,node,4519322454
Markstein-Siedlung,2,,Feldkirchen in Kärnten,46.7053006,14.1087388,node,4519322455
Markstein-Siedlung,4,,Feldkirchen in Kärnten,46.705555,14.1088927,node,4519322456
Markstein-Siedlung,5,,Feldkirchen in Kärnten,46.7063336,14.1090141,node,4519322457
Franz-Wiegele-Weg,8,,,46.718821,14.0770866,node,4519322459
Beethovenstraße,1,,,46.724175,14.0985252,node,4519322470
Beethovenstraße,3,,,46.7242122,14.0982673,node,4519322471
Bambergerplatz,13,,,46.7258625,14.0906851,node,4519322472
Amthofgasse,2,,,46.7230369,14.0911243,node,4519322478
Dr.-A.-Lemisch-Straße,4,,,46.7260858,14.0904276,node,4524477683
Heftgasse,1,,,46.7232248,14.0913894,node,4531936210
Turracher Straße,29a,9560,Feldkirchen in Kärnten,46.7328733,14.0787622,node,4532929900
Turracher Straße,25,9560,Feldkirchen in Kärnten,46.7316967,14.0784779,node,4532929901
Neuhofweg,16,9560,Feldkirchen in Kärnten,46.7276259,14.0788273,node,4532929907
Hauptplatz,14a,9560,Feldkirchen in Kärnten,46.7238746,14.0926815,node,4532929961
Hauptplatz,13a,9560,Feldkirchen in Kärnten,46.723893,14.0928693,node,4532929962
Hauptplatz,11,9560,Feldkirchen in Kärnten,46.7233202,14.0929364,node,4532929963
Ernst-Schwarz-Weg,12,9560,Feldkirchen in Kärnten,46.7299769,14.0803152,node,4532929966
Dr.-G.-H.-Neckheim-Straße,5,,,46.7270559,14.0981432,node,4532929983
Dr.-A.-Lemisch-Straße,9,,,46.7253077,14.092168,node,4532929984
Dr.-A.-Lemisch-Straße,1,,,46.7254406,14.0921782,node,4532929986
