OSM_ID,OSM_TYPE,NAME,BUILDING,ADDR_STRASSE,ADDR_HAUSNUMMER,ADDR_PLZ,ADDR_ORT,LAT,LON
132386444,way,,yes,Bundesstraße West,13,9551,Steindorf am Ossiacher See,46.690326060000004,13.98376596
132386448,way,,yes,Angerweg,1,9551,Steindorf am Ossiacher See,46.690975740000006,13.9848274
132386452,way,,yes,Uferweg,73,9552,Steindorf am Ossiacher See,46.693395216666666,13.99113695
132386454,way,,yes,Angerweg,6,9551,Steindorf am Ossiacher See,46.690814728571425,13.985077542857143
132386455,way,,yes,Angerweg,8,9551,Steindorf am Ossiacher See,46.69102922857144,13.985538628571428
132386456,way,,yes,Mühlenweg,2,9551,Steindorf am Ossiacher See,46.69041600909091,13.982847709090908
132386458,way,,yes,Bundesstraße West,15,9551,Steindorf am Ossiacher See,46.69012414444445,13.983620700000001
132386460,way,,yes,Angerweg,3,9551,Steindorf am Ossiacher See,46.69117566666667,13.985162822222222
132397216,way,,yes,,6,9552,Himmelberg,46.70771996363637,14.010190927272726
132397219,way,,yes,,11,9552,Himmelberg,46.70452177999999,14.010557019999998
132397220,way,,yes,,7,9552,Himmelberg,46.7080416,14.0093608
132397221,way,,yes,,4,9552,Himmelberg,46.7080216,14.012995519999999
132490430,way,,yes,,1,9552,Himmelberg,46.708431239999996,14.012716000000001
132490442,way,,yes,,2,9552,Steindorf am Ossiacher See,46.70226864,13.98406872
132490450,way,,yes,,3,9552,Himmelberg,46.7054229,14.01002398
132490453,way,,yes,,5,9552,Steindorf am Ossiacher See,46.702904499999995,13.98421648
132490459,way,,yes,,3,9552,Steindorf am Ossiacher See,46.70242038333333,13.983312050000002
132490466,way,,yes,,2,9552,Himmelberg,46.70489742,14.00991996
132490471,way,,yes,,4,9552,Steindorf am Ossiacher See,46.70198792,13.98326228
132490490,way,Kathrin's Buschenschank,yes,Ossiachberg,15,9551,Bodensdorf,46.69979512727273,13.980391227272726
132490494,way,,yes,,14,9552,Steindorf am Ossiacher See,46.701279027272726,13.980662072727272
132490508,way,,yes,,16,9552,Steindorf am Ossiacher See,46.69933455555556,13.98940861111111
132490510,way,,yes,,20,9552,Steindorf am Ossiacher See,46.70753644444444,13.995060822222221
132490511,way,,yes,,1,9552,Steindorf am Ossiacher See,46.70220598888889,13.984613033333332
136920944,way,,yes,Bundesstraße West,117,9551,Steindorf am Ossiacher See,46.674392857142855,13.959048957142858
138278035,way,Gutshof,yes,,1,9570,Ossiach,46.67174106,14.00658554
138278037,way,ehemaliger Pfarrhof,yes,,2,9570,Ossiach,46.67150297142858,14.006248257142856
146825881,way,,house,Kuchlbrunnweg,16,,,46.71640354,14.092971119999998
146825882,way,,house,Kuchlbrunnweg,9,,,46.717664940000006,14.094925
146825883,way,,yes,Ossiacherstraße,6,9560,Feldkirchen in Kärnten,46.71999890666666,14.090486626666666
146825886,way,,house,Kuchlbrunnweg,11,,,46.71697752,14.094681880000001
146825887,way,,yes,Himmelberger Straße,8,9560,Feldkirchen in Kärnten,46.7261215,14.086792220000001
146825888,way,,house,Kuchlbrunnweg,10,,,46.717117816666665,14.094698883333331
146825890,way,,house,Kuchlbrunnweg,32,,,46.71609548,14.09233436
146825891,way,,house,,13,9560,Unterrain,46.719879680000005,14.09286072
146825894,way,,yes,Himmelberger Straße,3,,,46.72576292,14.08726588
146825895,way,,house,,8,9560,Unterrain,46.719832440000005,14.09221312
146825896,way,,house,,12,9560,Unterrain,46.72015924,14.092836460000001
146825897,way,,house,Kuchlbrunnweg,14,,,46.716490379999996,14.09364866
146898639,way,,house,Höhenstraße,15,,,46.72264418571428,14.11263085714286
146898642,way,Reifenhandel Fink,yes,Unterrain,20,9560,Unterrain,46.716807599999996,14.08737494
146898643,way,,house,Seeblick,13,,,46.72460314285714,14.111709528571428
146898644,way,,yes,Klagenfurter Straße,9a,9560,Feldkirchen in Kärnten,46.718870259999996,14.097972600000002
146898646,way,,house,Rangetinerstraße,3,9560,,46.72407795,14.108637816666667
146898647,way,Holz Dulle,warehouse,Gurktaler Straße,31,9560,Feldkirchen in Kärnten,46.72917342,14.09662942
146898649,way,,house,Höhenstraße,12,,,46.72289255714286,14.112169057142856
146898651,way,,yes,St. Veiterstraße,21,,,46.71987354,14.10787326
146898655,way,,yes,,50,9560,Rabensdorf,46.71699296,14.08588364
146898656,way,,house,Seeblick,15,,,46.724343828571435,14.111540614285715
146898657,way,,yes,Obere Tiebelgasse,18,9560,Feldkirchen in Kärnten,46.72501616000001,14.095223279999999
146898658,way,,house,Rangetinerstraße,15,,,46.723693960000006,14.108845460000001
146898659,way,,yes,Höhenstraße,19,,,46.72272112,14.11352224
146898662,way,,yes,Ghega-Allee,3,,,46.72219843999999,14.09933378
146898663,way,,house,Kressengasse,5,,,46.72655265,14.10536645
